(432,244,-254)
(432,243,-254)
(432,243,-254)
(432,243,-254)
(433,243,-254)
(433,243,-254)
(433,243,-254)
(433,243,-254)
(433,243,-254)
(433,243,-254)
(433,243,-254)
(433,243,-254)
(433,243,-254)
(433,243,-254)
(433,243,-254)
(433,242,-254)
(434,242,-254)
(434,242,-254)
(434,241,-253)
(435,241,-252)
(436,240,-251)
(436,239,-250)
(438,237,-248)
(439,236,-247)
(441,234,-245)
(442,232,-243)
(444,230,-240)
(446,228,-238)
(447,226,-234)
(449,224,-231)
(452,222,-227)
(454,220,-223)
(456,218,-219)
(458,215,-215)
(461,213,-210)
(463,210,-205)
(466,208,-200)
(469,205,-195)
(471,201,-189)
(474,198,-183)
(477,194,-177)
(480,189,-171)
(484,185,-165)
(486,181,-158)
(490,176,-151)
(492,171,-144)
(496,167,-137)
(498,162,-129)
(502,156,-121)
(504,150,-113)
(507,145,-105)
(510,138,-97)
(513,132,-89)
(515,126,-81)
(518,119,-72)
(520,112,-64)
(523,106,-55)
(524,99,-46)
(526,92,-37)
(528,85,-28)
(529,78,-19)
(531,71,-10)
(533,63,0)
(534,56,8)
(534,48,17)
(535,40,26)
(536,33,35)
(536,25,45)
(537,18,54)
(537,10,63)
(536,3,73)
(536,-4,82)
(535,-11,92)
(535,-19,101)
(534,-26,110)
(533,-33,120)
(532,-40,129)
(530,-47,138)
(527,-61,157)
(525,-68,166)
(523,-74,175)
(521,-80,184)
(519,-86,193)
(517,-92,201)
(514,-98,209)
(512,-104,217)
(509,-109,225)
(507,-114,233)
(503,-120,240)
(501,-125,248)
(498,-129,255)
(496,-134,261)
(492,-139,268)
(490,-143,274)
(487,-148,280)
(484,-152,286)
(481,-156,292)
(479,-160,297)
(476,-164,302)
(474,-168,307)
(471,-171,311)
(469,-175,316)
(466,-178,320)
(463,-182,324)
(462,-185,327)
(460,-188,330)
(458,-191,333)
(456,-194,335)
(454,-198,338)
(453,-201,339)
(452,-203,341)
(451,-206,342)
(450,-209,342)
(449,-212,343)
(448,-215,343)
(448,-217,343)
(448,-219,343)
(447,-222,343)
(447,-224,342)
(447,-226,342)
(448,-227,341)
(448,-229,341)
(448,-231,340)
(449,-232,339)
(449,-234,338)
(450,-235,336)
(451,-236,335)
(451,-237,334)
(452,-237,333)
(452,-238,332)
(453,-238,330)
(454,-238,329)
(456,-237,327)
(457,-236,326)
(458,-235,324)
(460,-234,322)
(462,-233,320)
(463,-231,318)
(465,-229,316)
(467,-228,314)
(469,-226,311)
(471,-223,309)
(474,-221,306)
(475,-218,304)
(478,-215,301)
(480,-212,298)
(483,-208,295)
(485,-205,291)
(488,-201,288)
(491,-198,284)
(493,-194,280)
(496,-190,276)
(499,-186,272)
(502,-182,267)
(504,-177,262)
(507,-173,257)
(510,-168,252)
(513,-164,247)
(516,-159,241)
(518,-154,235)
(522,-149,229)
(524,-143,223)
(527,-138,217)
(529,-133,210)
(532,-127,203)
(535,-121,196)
(537,-116,189)
(540,-110,182)
(542,-104,174)
(545,-97,166)
(546,-91,158)
(549,-85,151)
(552,-70,135)
(554,-63,126)
(555,-56,118)
(556,-49,110)
(557,-42,101)
(558,-34,93)
(559,-27,84)
(560,-19,75)
(560,-13,66)
(560,-5,57)
(560,2,48)
(560,10,39)
(559,18,31)
(558,26,22)
(557,34,13)
(556,42,4)
(555,50,-4)
(554,58,-13)
(552,67,-22)
(550,75,-30)
(548,83,-39)
(545,91,-47)
(543,99,-55)
(540,107,-64)
(537,114,-72)
(534,122,-79)
(531,130,-87)
(528,137,-95)
(524,144,-102)
(521,151,-109)
(518,158,-116)
(513,167,-125)
(509,173,-132)
(505,179,-138)
(501,186,-144)
(497,191,-150)
(493,197,-156)
(489,203,-162)
(485,208,-168)
(481,213,-173)
(477,217,-178)
(474,222,-183)
(470,226,-188)
(466,230,-192)
(463,234,-197)
(459,237,-201)
(456,240,-204)
(453,243,-208)
(450,246,-211)
(447,248,-214)
(445,250,-217)
(443,252,-219)
(441,253,-222)
(439,254,-224)
(437,255,-226)
(436,256,-228)
(436,256,-229)
(435,256,-231)
(434,256,-232)
(433,256,-233)
(433,256,-234)
(433,256,-235)
(433,255,-235)
(433,254,-236)
(433,254,-236)
(434,253,-236)
(435,252,-236)
(436,251,-235)
(436,250,-235)
(436,249,-234)
(437,248,-234)
(438,247,-233)
(439,246,-233)
(440,246,-232)
(440,245,-231)
(441,245,-231)
(441,244,-230)
(442,244,-229)
(442,244,-229)
(442,244,-228)
(442,244,-228)
(442,245,-228)
(442,245,-227)
